abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773306142.6204,1.9822,192.168.93.59,192.168.93.59,6,40210,80,44,40,64,2,SYN,8192,2054,0,,,0,44,1,124,62,1,0.5,0.5,0.5,1,0,0,0
1773306142.6206,1.9824,192.168.93.59,192.168.93.59,6,80,40210,44,40,64,20,RST|ACK,0,0,2055,,,0.00013303756713867188,88,2,125,0,1,0.496,0,1,1,0,1,0
1773306142.6207,1.9825,192.168.93.59,192.168.93.59,6,40682,80,44,40,64,2,SYN,8192,1319,0,,,0,44,1,126,63,1,0.5,0.5,0.5,1,0,0,0
1773306142.6208,1.9826,192.168.93.59,192.168.93.59,6,80,40682,44,40,64,20,RST|ACK,0,0,1320,,,0.00011301040649414062,88,2,127,0,1,0.4961,0,1,1,0,1,0
1773306142.6209,1.9827,192.168.93.59,192.168.93.59,6,18417,80,44,40,64,2,SYN,8192,6120,0,,,0,44,1,128,64,1,0.5,0.5,0.5,1,0,0,0
1773306142.6212,1.983,192.168.93.59,192.168.93.59,6,80,18417,44,40,64,20,RST|ACK,0,0,6121,,,0.0002639293670654297,88,2,129,0,1,0.4961,0,1,1,0,1,0
1773306142.6215,1.9833,192.168.93.59,192.168.93.59,6,53987,80,44,40,64,2,SYN,8192,1953,0,,,0,44,1,130,65,1,0.5,0.5,0.5,1,0,0,0
1773306142.6217,1.9835,192.168.93.59,192.168.93.59,6,80,53987,44,40,64,20,RST|ACK,0,0,1954,,,0.0001971721649169922,88,2,131,0,1,0.4962,0,1,1,0,1,0
1773306142.6219,1.9837,192.168.93.59,192.168.93.59,6,44449,80,44,40,64,2,SYN,8192,2496,0,,,0,44,1,132,66,1,0.5,0.5,0.5,1,0,0,0
1773306142.6221,1.9839,192.168.93.59,192.168.93.59,6,80,44449,44,40,64,20,RST|ACK,0,0,2497,,,0.00015211105346679688,88,2,133,0,1,0.4962,0,1,1,0,1,0
1773306142.6222,1.984,192.168.93.59,192.168.93.59,6,23732,80,44,40,64,2,SYN,8192,5352,0,,,0,44,1,134,67,1,0.5,0.5,0.5,1,0,0,0
1773306142.6224,1.9842,192.168.93.59,192.168.93.59,6,80,23732,44,40,64,20,RST|ACK,0,0,5353,,,0.0001239776611328125,88,2,135,0,1,0.4963,0,1,1,0,1,0
1773306142.6225,1.9843,192.168.93.59,192.168.93.59,6,57790,80,44,40,64,2,SYN,8192,7511,0,,,0,44,1,136,68,1,0.5,0.5,0.5,1,0,0,0
1773306142.6226,1.9844,192.168.93.59,192.168.93.59,6,80,57790,44,40,64,20,RST|ACK,0,0,7512,,,0.0001239776611328125,88,2,137,0,1,0.4964,0,1,1,0,1,0
1773306142.6228,1.9846,192.168.93.59,192.168.93.59,6,16596,80,44,40,64,2,SYN,8192,8815,0,,,0,44,1,138,69,1,0.5,0.5,0.5,1,0,0,0
